product_code,name,img_link,price,proficiency_level,power_consum(W),washing_cap(kg),dryng_cap(kg),width(mm),height(mm),depth(mm),weight(kg),color,door_type,control_type,water_temp,spin_op,manual_link
WMT146,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10474827/gallery/medium-interior01.jpg,449000,2,300,12,,590,960,606,38,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=gh8KEL9WS1uDwV35PZVFCA
WMT147,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10473827/gallery/medium-interior01.jpg,439000,2,300,12,,590,960,606,38,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=TM3kMf3xGcad9NZJlaPhaQ
WMT148,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10474826/gallery/medium-interior01.jpg,500000,2,300,13,,590,960,606,38,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=gh8KEL9WS1uDwV35PZVFCA
WMT149,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10708830/gallery/medium-interior01.jpg,582000,2,300,13,,590,965,610,39,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
WMT150,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10744826/gallery/medium-interior01.jpg,571000,2,300,13,,590,965,610,39,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
WMT151,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10481828/gallery/medium-interior01.jpg,550000,2,300,15,,632,970,670,44,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
WMT152,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10481829/gallery/medium-interior01.jpg,550000,2,300,15,,632,970,670,44,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
WMT153,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10578832/gallery/medium-interior01.jpg,600000,2,300,16,,632,970,670,44,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
WMT154,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10578831/gallery/medium-interior01.jpg,600000,2,300,16,,632,970,670,44,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
WMT155,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10578833/gallery/medium-interior01.jpg,600000,2,300,16,,632,970,670,39,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
