제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),세탁 용량(kg),건조 용량(kg),크기(mm),무게(kg),색상,도어 디자인,조작 및 표현방식,물온도,탈수선택,제품 사용 설명서
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10374829/gallery/medium-interior01.jpg,"580,000원",2등급,"2,000",9,,600x825x550,53.0,화이트,"600x825x1,005",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=GPTVVT8wITxbHeWAQIOYsA
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/medium-interior01.jpg,"600,000원",2등급,"2,000",9,,600 x 850 x 550,55.0,화이트,"600 x 850 x 1,005",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=YTZpkXb3hY8i34KGKPqLQ
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10732848/gallery/medium-interior01.jpg,"1,650,000원",1등급,"2,100",19,,700 x 990 x 770,91.0,네이처 베이지,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10412833/gallery/medium-interior01.jpg,"1,550,000원",3등급,"2,100",19,,700 x 990 x 770,91.0,네이처 그린,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10732849/gallery/medium-interior01.jpg,"1,650,000원",1등급,"2,100",19,,700 x 990 x 770,91.0,네이처 그린,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10412835/gallery/medium-interior01.jpg,"1,450,000원",3등급,"2,100",19,,700 x 990 x 770,91.0,모던 스테인리스,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10732850/gallery/medium-interior01.jpg,"1,550,000원",1등급,"2,100",19,,700 x 990 x 770,91.0,모던 스테인리스,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10732851/gallery/medium-interior01.jpg,"1,500,000원",1등급,"2,100",19,,700 x 990 x 770,91.0,릴리 화이트,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10732843/gallery/medium-interior01.jpg,"1,750,000원",1등급,"2,100",21,,700 x 990 x 770,91.0,네이처 베이지,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
LG 트롬 오브제컬렉션 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/medium-interior01.jpg,"1,650,000원",3등급,"2,100",21,,700 x 990 x 770,91.0,네이처 그린,"700 x 990 x 1,360",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=u5wCkEr3mrG8aaEDzmoSSA
